respondent_id,duration_of_experiment,which_group,exp_coding,exp_working_java,exp_finding_vuln,path_lines,path_lines_correctness,path_lines_type,path_motivation,path_difficulty,path_confidence,userinjection_lines,userinjection_lines_correctness,userinjection_lines_type,userinjection_motivation,userinjection_difficulty,userinjection_confidence,xss_lines,xss_lines_correctness,xss_lines_type,xss_motivation,xss_difficulty,xss_confidence,dos_lines,dos_lines_correctness,dos_lines_type,dos_motivation,dos_difficulty,dos_confidence,familiar_java,familiar_vuln,proc_understand,proc_time,proc_training,avg_correctness_slice,avg_correctness_full
R_4qmhEq35UDKr8nM,5027,Group2,Not really,No experience,No experience,76;107;114,0.15384615384615385,slice,"supposing that the weakness is in normalize, the code only finds in the path the indexes of /../ so if I have a path ""../a/../b"" the first ../ would go undetected. Maybe there is some other logical error with the indexing not quite sure (need tests).",3,3,287,0.2,full,may throw null exception,3,4,70;85;85;87;88;89;90;92,0.0,slice,"Every single input action by the user, as long as it is a text, gets processed. He can plant html or scripts easily.",2,4,"454;462,491",0.3333333333333333,full,We have a loop controlled by a user. He could send a really long header to kill the process or lower the performances.,2,3,Neither-Agree-nor-Disagree,Agree,Agree,Strongly agree,Strongly agree,0.07692307692307693,0.26666666666666666
R_21vKESufxLoM9S6,5260,Group1,Only as a Teaching Assistant,No experience,As part of University projects,361;368;458;505;854,0.15384615384615385,full,"line 361, the function is getting path as an input from the user. Line 368 and 458 and 505 and 543 it seems like the input is sanitized using ""normalize"" but in line 854 it tries to Resolve occurrences of /../ but maybe the input has /./.././",4,1,59;86,0.2,slice,"59 it is getting username for the user without any santinization, 86 if the user do not enter anything for credentials",4,2,427;426;435,0.0,full,426 & 427 getting request to outside. 435 concatination,4,2,56;51,0.3333333333333333,slice,if the header is too big 51 will continue without exception,5,1,Disagree,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,0.26666666666666666,0.07692307692307693
R_7rdJdfY8zlB9TXP,5326,Group4,Only as a Teaching Assistant,As part of University projects,As part of University projects,208;348;481;694;753,0.0,full,"In line 208, the program uses ''uri'' input without being verified.
in line 348, 'path' is used to create a new file without being verified/normalized.
In line 481,694 and 753, the try catch pattern may cause DoS.",3,3,151;153;190;195;281,0.2,full,"In line 151 and 153, authentication can be true because the credentials are not checked. 190 and 195 lacks null check, roles can be null. 281 the try catch pair can lead to DoS.",3,3,69;74,0.25,slice,action or requesturi is not checked which may cause injection.,4,3,51,0.3333333333333333,slice,"The loop is controlled by the length of the headers, can lead to a DoS",2,3,Agree,Disagree,Agree,Agree,Agree,0.29166666666666663,0.1
R_2DxfRUKRXjnMMRr,5355,Group1,Yes but in another programming language at a Company,As part of University projects,No experience,543;549;566;854,0.07692307692307693,full,"the normalize function is incorrect. it search '/../' so when the path is ended with .. it won't remove it. If we are using getResourcePaths, which will list the whole folder, files outside the specified folder will be returned",4,1,62;87,0.4,slice,It did not check whether the credential is a null,4,1,347;429;430;468,0.0,full,"the action may be a runtime expression used by the user at line 468, and be returned without being processed.",4,1,151;51,0.3333333333333333,slice,The loop for reading the header depends on the how many headers are there in use's data. a huge amount of headers can bring down the server,4,1,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,0.3666666666666667,0.038461538461538464
R_284dImTUDG2EBvb,5504,Group6,Only as a Teaching Assistant,Developed several projects using Java,As part of University projects,75;76;91;93;95,0.15384615384615385,slice,"The getRequestDispatcher() function is vulnerable. Because the order of executing, it first executes the normalize() function. The input string can contains more than one ""/../"" and other chars, which can cause path traversal vulnerabilities.",3,2,142;151;153;159;160;162;163,0.2,full,"The authenticate() function is vulnerable. It is using digest() and returns principal. Besides, the username is logged no matter the value of variable validated.",2,3,425;426;441;446;447;451,0.5,full,The function resolveAction() is vulnerable. Strings in uri may contain executed code strings.,4,2,47;49;50;51;68;237,0.6666666666666666,slice,"The parseHeaders() function contains DOS vulnerability. The parseHeader() may always return a status of HeaderParseStatus.HAVE_MORE_HEADERS. In this case, the do-while loop will never stop. ",3,2,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,0.41025641025641024,0.35
R_6P1oxpzTFDFmN1H,4940,Group6,Not really,As part of University projects,As part of University projects,114,0.07692307692307693,slice,"it overlooks the case that there may not be ""/"" after '/..' so it wont normalized cases like /a/b/../../..",2,4,190,0.0,full,it did not check the substring between 2 commas,3,3,429,0.0,full,it does not check whether action is legal or not,4,2,83,0.0,slice," User-controlled values define the size of allocated  memory, arrays or buffers",4,2,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Strongly agree,Disagree,Neither-Agree-nor-Disagree,0.038461538461538464,0.0
R_5Qc0OIbbFFPUXts,6526,Group6,Not really,As part of University projects,As part of University projects,95;117,0.07692307692307693,slice,"Inside the while loop in the function normalize, in line 117 it checks if /../ is at the beginning of the path. However, you could have /safe_dir/../data.db and it would not sanitize it. In line 95, a request is sent with the vulnerable path.",3,4,287;301,0.2,full,"In line 287, getBytes could get a null Exception, which would then return the plain credentials in line 301.",4,3,441;451;466;468;470,0.5,full,"resolveAction() gets the request URI in line 441, which is processed in line 451, but in processAction it gets the request in line 466 and does not check its validity before processing it in line 468 and returning it in line 470",4,3,177;187;201,0.0,slice,A user can control the size of buffer buf because it will keep getting more data until the end of the line,4,3,Agree,Agree,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,0.038461538461538464,0.35
R_5rMs9OjM3AMhLQ2,6633,Group6,Not really,As part of University projects,No experience,119;120,0.15384615384615385,slice,"normalized the path but has error in dealing the case when '/../' appears in the middle of the path.
'",4,3,195;196,0.0,full,Set user name and password without checking,3,2,466;468;480;482,0.0,full,Get request object without checking its validity.,4,3,121;235,0.0,slice,"http header define the size of allocated buffers, may be too large and decrease server’s  performance",3,2,Agree,Neither-Agree-nor-Disagree,Agree,Strongly agree,Neither-Agree-nor-Disagree,0.07692307692307693,0.0
R_2xQuBoINqDS5QB0,6623,Group1,Yes but in another programming language at a Company,As part of University projects,No experience, 93;155;187;200;225;228;231;253;306;367;376;379;417;419;479;645;658;769,0.0,full,"password can be brute force
all the log files from the exceptions can contain vital info.
change the path can give root access


",3,4,62;63;93;83;94,0.2,slice," Path_X Password  hashmap can be brute force, system resources can be gotten from155, and all the excepts that returns log s can reveal vital info",3,4,150;175;184;190;255;382;378;391;420;447;485,0.0,full,most inputs are not validated. the eval page return will environmental variables. and strings can be concatenated. path can be changed from relative to absolute,3,3,56;57;66;78;80;89;95;107;177;178;184;237,0.0,slice,we can add more header outside the block at 95. comments at 66 give glue on what to do. 107 header can be guess,4,3,Disagree,Agree,Agree,Agree,Agree,0.1,0.0
R_4d4EEt0vsGlBTRd,6796,Group4,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,339;348;,0.0,full,The file didn't use normalize() to block a path go outside the boundaries of the current context. The function getRealPath is set to public.,4,3,292;293;300,0.0,full,There are no log.isDebugEnable() or other controller to prevent print error log. These logs maybe contain credentials info.,4,3,74;87;89,0.25,slice,Undefined actions will allow unpredictable injections,4,3,151;168;209;222;,0.0,slice,"If headerParsePos is one of the HEADER_VALUE_START, HEADER_VALUE, HEADER_MULTI_LINE, and a user provides all characters in Constants.SP and Constants.HT, then the loop will never be broken until the buffer is overflow",4,3,Neither-Agree-nor-Disagree,Disagree,Agree,Strongly agree,Disagree,0.125,0.0
R_3aVtz9AHKzUNAsC,6871,Group4,Yes but in another programming language at a Company,As part of University projects,No experience,"348;463;466;468;479;927,928,930",0.0,full,"In line 348, a File object is made without any sanitization checks on path input. In 463,466,468 .jar file paths are whitelisted and be exploted to access other .jar files. In 927,928,930, the path is whitelisted and Uri string is made with no checks",4,4,144;147;195;235;236,0.4,full,"Lines 144,147 only null check on principal, username can be brute-forced to authenticate. Line 195, malicious code can be added to in-memory db as no checks on username and password. Lines 235,236, username can be brute-forced to get the passwords",3,5,66;89,0.0,slice,An action string is processed by processor without any sanitization checks on the action string. Attacker can inject malicious actions in this case.,3,4,235,0.0,slice,The headerValue can setBytes larger than required by increasing the buffer size,3,2,Neither-Agree-nor-Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,0.0,0.2
R_6rHPwheFYU7MYtA,7048,Group3,Not really,As part of University projects,As part of University projects,76;91;93,0.07692307692307693,slice,"76 uses a custom sanitizing function, 91 and 93 create a URI with user input",2,5,62;84;89,0.2,slice,"password is not checked if it is null, moreover no exceptions are caught in the digest function",2,3,347;445;468,0.0,full,347 append user query string; 445 read user query string; 468 process user query string without any check,3,3,420:491,0.0,full,"420 uncaught exception . 491 there might be a buffer overflow that lead to a DoS, but there where so many lines and I couldnt check the correct functionality of the program",4,1,Disagree,Agree,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,0.13846153846153847,0.0
R_5wvGVB6iwMitbXC,7094,Group5,Yes but in another programming language at a Company,As part of University projects,No experience,339;348;349,0.0,full,"339 path could contain malicious content. In line 348, this path is used to construct a new path for a file, which at 339 is returned. This could be a different path that could be traversed. not sanitized and normalized",5,4,"58,59,66,67",0.2,slice,"Username from 58 is used to find a principal without being checked at 59, could be an user injection. At 66 is used in log.debug and 67 the wrong principal could be returned",3,4,"66,69,70,89",0.0,slice,"66 user configured action is taken, 69 is used to get a display string(without encoding) and then at 70 it is processed without being processed without being checked at 89 with request could be xss",3,3,148;98;103;475,0.0,full,"148 headerbuffersize is declared but not given a value, this could be set to a very big value that would crash system.At 103 the buf size is set to input from 103 that is not checked before.At 475 there is a check that could always return false",5,3,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Strongly agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,0.1,0.0
R_5kHcDGxYL3IYyNu,271,Group5,Yes as a Research Assistant at University,As part of University projects,Several years of professional experience outside of university,5-46,0.0,full,Thi seems correct and shouldn't work well.,1,2,56,0.0,slice,math this doesn't really work,2,2,5-67890,0.0,slice,this seems the right thing to do ,3,2,564,0.0,full,this is correct and should work,4,2,Neither-Agree-nor-Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,0.0,0.0
R_10C0Fc0WmZPDXoz,2360,Group3,Not really,No experience,As part of University projects,"The code within the while(true) statement in the string function normalize (dont have a proper editor, download takes too long)",0.0,slice,"The function does not correctly prevent path traversal methods, you could insert a path like ../../../../someimportantdocument/",2,3,86-92,0.0,slice,"The digest function can return an exception and instead of a hashed password, will return a plaintext string which could reveal an users password",2,3,345-354,0.0,full,"I dont see the input being properly checked and sanitized, this could result to the attributes being used to insert malicious code",4,2,413-448,0.0,full,"It's possible for the readsocket function to indefinitely keep reading data which will cause a DOS. Similar with the expand function, but not certain about that.",4,1,Disagree,Neither-Agree-nor-Disagree,Agree,Strongly agree,Neither-Agree-nor-Disagree,0.0,0.0
R_4ZTag6Jezolkg7v,2483,Group6,Only as a Teaching Assistant,As part of University projects,As part of University projects,75,0.0,slice,"The ""path"" parameter is being used to construct a SQL query without proper input validation or sanitization. This could allow an attacker to inject malicious SQL statements into the query, potentially leading to unauthorized access of database",4,2,142; 274; 290,0.2,full,"Since the code does not appear to have proper input validation or output encoding when displaying the user credentials. If an attacker can inject a script in the password fields, the script could be executed when the user credentials are displayed.",3,4,347,0.0,full,"The most likely type of attack is XSS. If these attributes(e.g., ""action"", ""method"", ""target"") are not properly sanitized, an attacker may be able to inject malicious code into the generated HTML, leading to a cross-site scripting attack.",3,4,68,0.0,slice,"The code is responsible for parsing HTTP request headers and seems to implement proper input validation and sanitization techniques, but any downstream processing of the request data could introduce vulnerabilities.",3,2,Disagree,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,Disagree,0.0,0.1
R_3s6YMpNoh34GuhE,1901,Group4,Yes as a Research Assistant at University,No experience,As part of University projects,76;112;157;180;212,0.0,full,"The HTTP request can contain more data than the internal buffer could handle, causing the server to crash. The aforementioned lines allow more data to be read, thereby creating a security loophole for attackers.",4,1,151,0.2,full,"Line 151 has Information Disclosure, given the null exception that is thrown",2,2,88,0.0,slice,"The server does not check the request for validity, hence exposing a xss vulnerability",1,4,76;112;157;180;212,0.0,slice,"all of the aforementioned lines allow for more bytes to be sent. The server will process the http request object, and as soon as the internal buffer is full, it may crash and cause a DoS",3,3,Strongly disagree,Neither-Agree-nor-Disagree,Agree,Strongly agree,Neither-Agree-nor-Disagree,0.0,0.1
R_3FOL6BSvUcFSIrW,1170,Group6,Yes but in another programming language at a Company,No experience,Find vulnerabilities outside university,114,0.07692307692307693,slice,It is possible to bypass the normalize function and have ../ in the path,2,3,180,0.0,full,The adduser is the vulnerable function,4,1,342,0.0,full,The writeTagContent function is vulnerable to xss,4,1,68,0.0,slice,The parseHeader function is vulnerable,4,1,Disagree,Disagree,Disagree,Agree,Disagree,0.038461538461538464,0.0
R_26aovXcAszRH26f,2668,Group3,Yes but in another programming language at a Company,Developed project(s) using Java outside University,Find vulnerabilities outside university,"119,121",0.07692307692307693,slice,"the function would not remove ""./"" cases in the path and thus ""./../foo/../"" would pass through.
",3,3,89,0.0,slice,"unhandled try blocks and would crash for any error , dos",3,3,434;445,0.0,full,path traversal possible because paths are not checked for context location.,3,4,438,0.0,full,dos possible due to memory being allocated to header length without checking the length.,2,5,Disagree,Agree,Agree,Agree,Neither-Agree-nor-Disagree,0.038461538461538464,0.0
R_1CvVU07N39EVqGy,2778,Group3,Yes but in another programming language at a Company,As part of University projects,As part of University projects,115; 117,0.0,slice,"Only catches ../ at the beginning of the string, but not if it is further back",3,3,89;90,0.2,slice,"There's an uncought exception, which could lead to an error being thrown.",2,4,467;468,0.0,full,"There is no check on which action is performed, so in theory the user can perform any action",5,2,394; 773,0.0,full,"The buffer could be overflowed, causing the program to crash",4,3,Disagree,Agree,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,0.1,0.0
R_3m8AcYvLa3hl3Os,3165,Group4,Yes in Java at a Company,Developed several projects using Java,No experience,205;208;364;365;366;367;368;480; 850;854;859;860;910;911;915;928;930;,0.3076923076923077,full,these line try  to traverse file directory based on input sent to method and since the methods are public they are directly accessible from outside.,2,3,159;163;184;293;323;335,0.0,full,159 and 163 are logging sensitive information in. 184 the roles to be added are created as string of coma separated roles. 293 throws senstive information. 323 throws senstive information message. ,3,2,68;75,0.25,slice,"68 and 75 only validate the presence of some text before proceeding , while the value could have additional text that could containe code and could be possibly executed after validation.",3,2,55;76;77;109;119;137;228;229,0.0,slice,these lines parse headers and the user of method could pass as many headers as required and fill up the buffer string variable which might cause denial of service.,4,1,Neither-Agree-nor-Disagree,Agree,Agree,Agree,Neither-Agree-nor-Disagree,0.125,0.15384615384615385
R_3ad8iHXwqa7yHC1,3222,Group5,Not really,Developed project(s) using Java outside University,As part of University projects,854,0.07692307692307693,full,"For 854: The path is not checked for the string ""/.."", only ""/../"", so it is possible to escape out of the context.",4,3,82;87,0.2,slice,"82, 87: Try without catch. Results in leaking the credentials string upon an exception.",3,2,69,0.0,slice,"69: The given action is directly evaluated, which can result in an XSS attack if not sanitised.",2,5,420,0.0,full,"420: If an exception occurs while getting from the pool, the exception will be ignored and the system will block, causing a denial of service attack.",4,2,Agree,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,Strongly disagree,0.1,0.038461538461538464
R_2Swuf4973133TEJ,2929,Group3,Not really,No experience,No experience,75;91;93;120,0.07692307692307693,slice,"These are lines where there is either a request, or some sort of concatenation of a string. ",4,2,59;62;66,0.4,slice,There are lines with get requests where the input is not checked for validity ,4,2,441;442;445;465;466;467;468;479;480;481;482,0.25,full,These are lines with get request/reponse where the input isn't checked for validity,5,1,397;398;399;475;653;654;655,0.0,full,These are lines where user-controlled values define the size of allocated memory/arrays/buffers or where users influence loop conditions. ,5,1,Disagree,Disagree,Strongly agree,Agree,Disagree,0.23846153846153847,0.125
R_1Kx8flofL7vgaLz,2798,Group2,Not really,As part of University projects,As part of University projects,;,0.0,slice,The path is normalized and should be safe,3,4,64;78,0.0,full,64 and 78 store sensitive information which can be read from the code.,3,3,70;76,0.25,slice,The retrieved action is processed without checking if the action is safe.,3,4,805,0.0,full,"The underlying buffer listens on the socket for http requests to parse.All incoming messages are stored, filling the buffer. Malicious http requests can take up all the buffer space preventing other requests from being handled.",3,2,Neither-Agree-nor-Disagree,Agree,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,0.125,0.0
R_xaVdsmgzk12EEeZ,2807,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,75:95,0.07692307692307693,slice,"The method does not actually validate the input from the ""user"", e.g. ""path"" variable is not validated.",3,1,62;66,0.2,slice,The username of the principal is displayed in the log. The other is that in line 62 it uses principal.getPassword() and afterward it decode it...,3,2,497,0.0,full,It expose the nested path of that web app ,3,1,415;,0.0,full,I mean the whole method up to 446 and the problem is that the socket is never closed,3,2,Neither-Agree-nor-Disagree,Disagree,Agree,Agree,Neither-Agree-nor-Disagree,0.13846153846153847,0.0
R_3iJuvDXtd1nIgxs,3303,Group5,Not really,No experience,No experience,463; 516,0.0,full,463 is a line where the code checks if the file begins with a certain path and ends with .jar. The attacker could try to validate the input of the file by whitelisting.,5,1,62,0.2,slice,it is not checked whether the password matches the username,3,3,89,0.0,slice,request is not validated,3,3,810,0.0,full,from the user input the length is used for the variable buf,5,1,Strongly disagree,Neither-Agree-nor-Disagree,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,0.1,0.0
R_tRKLArCTuM8yHTj,3389,Group2,Only as a Teaching Assistant,As part of University projects,No experience,76;91;93;95,0.15384615384615385,slice,The input is used in the code to construct a path. The input does not seem to be sanitised properly. ,4,1,319;321;235;195;163,0.0,full,The input is not sanitised while it is used to construct a path or a query to a database.,4,1,88;74;75,0.5,slice,The input is not checked for validity. There is a missing else statement. ,5,1,240;262;283;306;337;463;498;534;576,0.3333333333333333,full,User-controlled values influence loop conditions,5,1,Neither-Agree-nor-Disagree,Strongly disagree,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,0.3269230769230769,0.16666666666666666
R_2feBGxnqgqIwwC7,3314,Group5,Only as a Teaching Assistant,Developed several projects using Java,No experience,479,0.0,full,"Line 479 concatenate two strings to get the full path, which can be dangerous because the concatenated string may contain special characters which redirect the path to a different directory. So the full path might be manipulated.",5,3,86;93,0.0,slice,"In line 86, if true, bytes will simply be assigned with raw bytes from user input. This value can contain special characters which might be complied as code instead of string. It is updated in line 93 without validation.",4,3,88;89,0.0,slice,"Line 88 does not check for illegal action values. As long as there is a processor and the request type is valid, it will process the action and later be returned without any security check.",4,3,227,0.0,full,"without manually set a maximum iteration for parsing the request, it is possible that the loop stuck forever given some special input which will never or take a very long time to meet the terminating condition.",5,2,Neither-Agree-nor-Disagree,Disagree,Agree,Agree,Disagree,0.0,0.0
R_264P0zHozptDX72,3518,Group1,Not really,As part of University projects,No experience,479,0.0,full,The full path is the hostname plus a sanitized path. The hostname isn't checked for ../.,4,2,86;87,0.2,slice,probably shouldn't return plain credentials string,5,1,407;429;437;513,0.0,full,the evaluate function is bad,4,1,51,0.3333333333333333,slice,no limit to the number of headers that will be parsed. Could result in too many resources being used,5,1,Disagree,Disagree,Agree,Neither-Agree-nor-Disagree,Disagree,0.26666666666666666,0.0
R_2dLr1JpvotIPkms,3713,Group1,Yes but in another programming language at a Company,As part of University projects,No experience,206,0.0,full,"The path that can be input isn't actually normalized just because it is prefixed with '/'. If you know a subfolder s you can access parent folders via /s/../.., which is normally prevented by the normalize() method, but not in the method getContext()",2,4,-,0.0,slice,"To my understanding the input is never directly queried into a database, which implies that vulnerabilities like SQL injections do not exist in the given code snippet.",4,2,447,0.0,full,"I cannot see what getRequestContext().getQueryString()  in line 445 returns, but if that method does not sanitize you would eventually be able to run e.g. an inserted script in line 451 through the method processAction()",3,3,-,0.0,slice,"Whenever more storage would be needed to parse the header, the private method just returns a status that causes the calling public method to stop its loop to read the header further. No ressources are allocated that would cause an overflow.",4,2,Agree,Neither-Agree-nor-Disagree,Strongly agree,Strongly agree,Disagree,0.0,0.0
