Duration (in seconds),ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,PathMotivation,InjectionLines,InjectionMotivation,XSSLines,XSSMotivation,DoSLines,DoSMotivation,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Process.remarks
5027,R_4qmhEq35UDKr8nM,Group2,Not really,No experience,No experience,76;107;114,"supposing that the weakness is in normalize, the code only finds in the path the indexes of /../ so if I have a path ""../a/../b"" the first ../ would go undetected. Maybe there is some other logical error with the indexing not quite sure (need tests).",287,may throw null exception,70;85;85;87;88;89;90;92,"Every single input action by the user, as long as it is a text, gets processed. He can plant html or scripts easily.","454;462,491",We have a loop controlled by a user. He could send a really long header to kill the process or lower the performances.,Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,Easy,40-60%,60-80%,60-80%,40-60%,Agree,Strongly agree,Strongly agree,It was quite fun. Hope I got it right ;)
5260,R_21vKESufxLoM9S6,Group1,Only as a Teaching Assistant,No experience,As part of University projects,361;368;458;505;854,"line 361, the function is getting path as an input from the user. Line 368 and 458 and 505 and 543 it seems like the input is sanitized using ""normalize"" but in line 854 it tries to Resolve occurrences of /../ but maybe the input has /./.././",59;86,"59 it is getting username for the user without any santinization, 86 if the user do not enter anything for credentials",427;426;435,426 & 427 getting request to outside. 435 concatination,56;51,if the header is too big 51 will continue without exception,Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Very Hard,0-20%,20-40%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
5326,R_7rdJdfY8zlB9TXP,Group4,Only as a Teaching Assistant,As part of University projects,As part of University projects,208;348;481;694;753,"In line 208, the program uses ''uri'' input without being verified.
in line 348, 'path' is used to create a new file without being verified/normalized.
In line 481,694 and 753, the try catch pattern may cause DoS.",151;153;190;195;281,"In line 151 and 153, authentication can be true because the credentials are not checked. 190 and 195 lacks null check, roles can be null. 281 the try catch pair can lead to DoS.",69;74,action or requesturi is not checked which may cause injection.,51,"The loop is controlled by the length of the headers, can lead to a DoS",Agree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Easy,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Agree,
5355,R_2DxfRUKRXjnMMRr,Group1,Yes but in another programming language at a Company,As part of University projects,No experience,543;549;566;854,"the normalize function is incorrect. it search '/../' so when the path is ended with .. it won't remove it. If we are using getResourcePaths, which will list the whole folder, files outside the specified folder will be returned",62;87,It did not check whether the credential is a null,347;429;430;468,"the action may be a runtime expression used by the user at line 468, and be returned without being processed.",151;51,The loop for reading the header depends on the how many headers are there in use's data. a huge amount of headers can bring down the server,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
5504,R_284dImTUDG2EBvb,Group6,Only as a Teaching Assistant,Developed several projects using Java,As part of University projects,75;76;91;93;95,"The getRequestDispatcher() function is vulnerable. Because the order of executing, it first executes the normalize() function. The input string can contains more than one ""/../"" and other chars, which can cause path traversal vulnerabilities.",142;151;153;159;160;162;163,"The authenticate() function is vulnerable. It is using digest() and returns principal. Besides, the username is logged no matter the value of variable validated.",425;426;441;446;447;451,The function resolveAction() is vulnerable. Strings in uri may contain executed code strings.,47;49;50;51;68;237,"The parseHeaders() function contains DOS vulnerability. The parseHeader() may always return a status of HeaderParseStatus.HAVE_MORE_HEADERS. In this case, the do-while loop will never stop. ",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Easy,Hard,Neither Hard Nor Easy,20-40%,40-60%,20-40%,20-40%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
4940,R_6P1oxpzTFDFmN1H,Group6,Not really,As part of University projects,As part of University projects,114,"it overlooks the case that there may not be ""/"" after '/..' so it wont normalized cases like /a/b/../../..",190,it did not check the substring between 2 commas,429,it does not check whether action is legal or not,83," User-controlled values define the size of allocated  memory, arrays or buffers",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Hard,Hard,60-80%,40-60%,20-40%,20-40%,Strongly agree,Disagree,Neither-Agree-nor-Disagree,
6526,R_5Qc0OIbbFFPUXts,Group6,Not really,As part of University projects,As part of University projects,95;117,"Inside the while loop in the function normalize, in line 117 it checks if /../ is at the beginning of the path. However, you could have /safe_dir/../data.db and it would not sanitize it. In line 95, a request is sent with the vulnerable path.",287;301,"In line 287, getBytes could get a null Exception, which would then return the plain credentials in line 301.",441;451;466;468;470,"resolveAction() gets the request URI in line 441, which is processed in line 451, but in processAction it gets the request in line 466 and does not check its validity before processing it in line 468 and returning it in line 470",177;187;201,A user can control the size of buffer buf because it will keep getting more data until the end of the line,Agree,Agree,Neither Hard Nor Easy,Hard,Hard,Hard,60-80%,40-60%,40-60%,40-60%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
6633,R_5rMs9OjM3AMhLQ2,Group6,Not really,As part of University projects,No experience,119;120,"normalized the path but has error in dealing the case when '/../' appears in the middle of the path.
'",195;196,Set user name and password without checking,466;468;480;482,Get request object without checking its validity.,121;235,"http header define the size of allocated buffers, may be too large and decrease server’s  performance",Agree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,40-60%,20-40%,40-60%,20-40%,Agree,Strongly agree,Neither-Agree-nor-Disagree,It was much harder than the example given on canvas yesterday ;(
6623,R_2xQuBoINqDS5QB0,Group1,Yes but in another programming language at a Company,As part of University projects,No experience, 93;155;187;200;225;228;231;253;306;367;376;379;417;419;479;645;658;769,"password can be brute force
all the log files from the exceptions can contain vital info.
change the path can give root access


",62;63;93;83;94," Path_X Password  hashmap can be brute force, system resources can be gotten from155, and all the excepts that returns log s can reveal vital info",150;175;184;190;255;382;378;391;420;447;485,most inputs are not validated. the eval page return will environmental variables. and strings can be concatenated. path can be changed from relative to absolute,56;57;66;78;80;89;95;107;177;178;184;237,we can add more header outside the block at 95. comments at 66 give glue on what to do. 107 header can be guess,Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,60-80%,60-80%,40-60%,40-60%,Agree,Agree,Agree,some terms like signature was not clear in this context
6796,R_4d4EEt0vsGlBTRd,Group4,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,339;348;,The file didn't use normalize() to block a path go outside the boundaries of the current context. The function getRealPath is set to public.,292;293;300,There are no log.isDebugEnable() or other controller to prevent print error log. These logs maybe contain credentials info.,74;87;89,Undefined actions will allow unpredictable injections,151;168;209;222;,"If headerParsePos is one of the HEADER_VALUE_START, HEADER_VALUE, HEADER_MULTI_LINE, and a user provides all characters in Constants.SP and Constants.HT, then the loop will never be broken until the buffer is overflow",Neither-Agree-nor-Disagree,Disagree,Hard,Hard,Hard,Hard,40-60%,40-60%,40-60%,40-60%,Agree,Strongly agree,Disagree,
6871,R_3aVtz9AHKzUNAsC,Group4,Yes but in another programming language at a Company,As part of University projects,No experience,"348;463;466;468;479;927,928,930","In line 348, a File object is made without any sanitization checks on path input. In 463,466,468 .jar file paths are whitelisted and be exploted to access other .jar files. In 927,928,930, the path is whitelisted and Uri string is made with no checks",144;147;195;235;236,"Lines 144,147 only null check on principal, username can be brute-forced to authenticate. Line 195, malicious code can be added to in-memory db as no checks on username and password. Lines 235,236, username can be brute-forced to get the passwords",66;89,An action string is processed by processor without any sanitization checks on the action string. Attacker can inject malicious actions in this case.,235,The headerValue can setBytes larger than required by increasing the buffer size,Neither-Agree-nor-Disagree,Strongly agree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,60-80%,80%-100%,60-80%,20-40%,Strongly agree,Strongly agree,Agree,
7048,R_6rHPwheFYU7MYtA,Group3,Not really,As part of University projects,As part of University projects,76;91;93,"76 uses a custom sanitizing function, 91 and 93 create a URI with user input",62;84;89,"password is not checked if it is null, moreover no exceptions are caught in the digest function",347;445;468,347 append user query string; 445 read user query string; 468 process user query string without any check,420:491,"420 uncaught exception . 491 there might be a buffer overflow that lead to a DoS, but there where so many lines and I couldnt check the correct functionality of the program",Disagree,Agree,Easy,Easy,Neither Hard Nor Easy,Hard,80%-100%,40-60%,40-60%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,"Ì honestly was not expecting hundreds of lines of code, even if the question about the signature of a function suggested where the vulnerability might be. I think that we might have needed more time to look at more complicated example such as the DoS one. "
7094,R_5wvGVB6iwMitbXC,Group5,Yes but in another programming language at a Company,As part of University projects,No experience,339;348;349,"339 path could contain malicious content. In line 348, this path is used to construct a new path for a file, which at 339 is returned. This could be a different path that could be traversed. not sanitized and normalized","58,59,66,67","Username from 58 is used to find a principal without being checked at 59, could be an user injection. At 66 is used in log.debug and 67 the wrong principal could be returned","66,69,70,89","66 user configured action is taken, 69 is used to get a display string(without encoding) and then at 70 it is processed without being processed without being checked at 89 with request could be xss",148;98;103;475,"148 headerbuffersize is declared but not given a value, this could be set to a very big value that would crash system.At 103 the buf size is set to input from 103 that is not checked before.At 475 there is a check that could always return false",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Very Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,60-80%,60-80%,40-60%,40-60%,Strongly agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
271,R_5kHcDGxYL3IYyNu,Group5,Yes as a Research Assistant at University,As part of University projects,Several years of professional experience outside of university,5-46,Thi seems correct and shouldn't work well.,56,math this doesn't really work,5-67890,this seems the right thing to do ,564,this is correct and should work,Neither-Agree-nor-Disagree,Strongly disagree,Very Easy,Easy,Neither Hard Nor Easy,Hard,20-40%,20-40%,20-40%,20-40%,Disagree,Disagree,Strongly agree,This is a test trial
2360,R_10C0Fc0WmZPDXoz,Group3,Not really,No experience,As part of University projects,"The code within the while(true) statement in the string function normalize (dont have a proper editor, download takes too long)","The function does not correctly prevent path traversal methods, you could insert a path like ../../../../someimportantdocument/",86-92,"The digest function can return an exception and instead of a hashed password, will return a plaintext string which could reveal an users password",345-354,"I dont see the input being properly checked and sanitized, this could result to the attributes being used to insert malicious code",413-448,"It's possible for the readsocket function to indefinitely keep reading data which will cause a DOS. Similar with the expand function, but not certain about that.",Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Hard,40-60%,40-60%,20-40%,0-20%,Agree,Strongly agree,Neither-Agree-nor-Disagree,
2483,R_4ZTag6Jezolkg7v,Group6,Only as a Teaching Assistant,As part of University projects,As part of University projects,75,"The ""path"" parameter is being used to construct a SQL query without proper input validation or sanitization. This could allow an attacker to inject malicious SQL statements into the query, potentially leading to unauthorized access of database",142; 274; 290,"Since the code does not appear to have proper input validation or output encoding when displaying the user credentials. If an attacker can inject a script in the password fields, the script could be executed when the user credentials are displayed.",347,"The most likely type of attack is XSS. If these attributes(e.g., ""action"", ""method"", ""target"") are not properly sanitized, an attacker may be able to inject malicious code into the generated HTML, leading to a cross-site scripting attack.",68,"The code is responsible for parsing HTTP request headers and seems to implement proper input validation and sanitization techniques, but any downstream processing of the request data could introduce vulnerabilities.",Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,60-80%,60-80%,20-40%,Agree,Neither-Agree-nor-Disagree,Disagree,
1901,R_3s6YMpNoh34GuhE,Group4,Yes as a Research Assistant at University,No experience,As part of University projects,76;112;157;180;212,"The HTTP request can contain more data than the internal buffer could handle, causing the server to crash. The aforementioned lines allow more data to be read, thereby creating a security loophole for attackers.",151,"Line 151 has Information Disclosure, given the null exception that is thrown",88,"The server does not check the request for validity, hence exposing a xss vulnerability",76;112;157;180;212,"all of the aforementioned lines allow for more bytes to be sent. The server will process the http request object, and as soon as the internal buffer is full, it may crash and cause a DoS",Strongly disagree,Neither-Agree-nor-Disagree,Hard,Easy,Very Easy,Neither Hard Nor Easy,0-20%,20-40%,60-80%,40-60%,Agree,Strongly agree,Neither-Agree-nor-Disagree,
1170,R_3FOL6BSvUcFSIrW,Group6,Yes but in another programming language at a Company,No experience,Find vulnerabilities outside university,114,It is possible to bypass the normalize function and have ../ in the path,180,The adduser is the vulnerable function,342,The writeTagContent function is vulnerable to xss,68,The parseHeader function is vulnerable,Disagree,Disagree,Easy,Hard,Hard,Hard,40-60%,0-20%,0-20%,0-20%,Disagree,Agree,Disagree,
2668,R_26aovXcAszRH26f,Group3,Yes but in another programming language at a Company,Developed project(s) using Java outside University,Find vulnerabilities outside university,"119,121","the function would not remove ""./"" cases in the path and thus ""./../foo/../"" would pass through.
",89,"unhandled try blocks and would crash for any error , dos",434;445,path traversal possible because paths are not checked for context location.,438,dos possible due to memory being allocated to header length without checking the length.,Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,40-60%,40-60%,60-80%,80%-100%,Agree,Agree,Neither-Agree-nor-Disagree,
2778,R_1CvVU07N39EVqGy,Group3,Yes but in another programming language at a Company,As part of University projects,As part of University projects,115; 117,"Only catches ../ at the beginning of the string, but not if it is further back",89;90,"There's an uncought exception, which could lead to an error being thrown.",467;468,"There is no check on which action is performed, so in theory the user can perform any action",394; 773,"The buffer could be overflowed, causing the program to crash",Disagree,Agree,Neither Hard Nor Easy,Easy,Very Hard,Hard,40-60%,60-80%,20-40%,40-60%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,
3165,R_3m8AcYvLa3hl3Os,Group4,Yes in Java at a Company,Developed several projects using Java,No experience,205;208;364;365;366;367;368;480; 850;854;859;860;910;911;915;928;930;,these line try  to traverse file directory based on input sent to method and since the methods are public they are directly accessible from outside.,159;163;184;293;323;335,159 and 163 are logging sensitive information in. 184 the roles to be added are created as string of coma separated roles. 293 throws senstive information. 323 throws senstive information message. ,68;75,"68 and 75 only validate the presence of some text before proceeding , while the value could have additional text that could containe code and could be possibly executed after validation.",55;76;77;109;119;137;228;229,these lines parse headers and the user of method could pass as many headers as required and fill up the buffer string variable which might cause denial of service.,Neither-Agree-nor-Disagree,Agree,Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,40-60%,20-40%,20-40%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,
3222,R_3ad8iHXwqa7yHC1,Group5,Not really,Developed project(s) using Java outside University,As part of University projects,854,"For 854: The path is not checked for the string ""/.."", only ""/../"", so it is possible to escape out of the context.",82;87,"82, 87: Try without catch. Results in leaking the credentials string upon an exception.",69,"69: The given action is directly evaluated, which can result in an XSS attack if not sanitised.",420,"420: If an exception occurs while getting from the pool, the exception will be ignored and the system will block, causing a denial of service attack.",Agree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Easy,Hard,40-60%,20-40%,80%-100%,20-40%,Agree,Neither-Agree-nor-Disagree,Strongly disagree,
2929,R_2Swuf4973133TEJ,Group3,Not really,No experience,No experience,75;91;93;120,"These are lines where there is either a request, or some sort of concatenation of a string. ",59;62;66,There are lines with get requests where the input is not checked for validity ,441;442;445;465;466;467;468;479;480;481;482,These are lines with get request/reponse where the input isn't checked for validity,397;398;399;475;653;654;655,These are lines where user-controlled values define the size of allocated memory/arrays/buffers or where users influence loop conditions. ,Disagree,Disagree,Hard,Hard,Very Hard,Very Hard,20-40%,20-40%,0-20%,0-20%,Strongly agree,Agree,Disagree,It would be nice if the quality of the lecture videos was a bit higher. Some parts of the powerpoints aren't visible and the video is very zoomed out. 
2798,R_1Kx8flofL7vgaLz,Group2,Not really,As part of University projects,As part of University projects,;,The path is normalized and should be safe,64;78,64 and 78 store sensitive information which can be read from the code.,70;76,The retrieved action is processed without checking if the action is safe.,805,"The underlying buffer listens on the socket for http requests to parse.All incoming messages are stored, filling the buffer. Malicious http requests can take up all the buffer space preventing other requests from being handled.",Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,60-80%,40-60%,60-80%,20-40%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,
2807,R_xaVdsmgzk12EEeZ,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,75:95,"The method does not actually validate the input from the ""user"", e.g. ""path"" variable is not validated.",62;66,The username of the principal is displayed in the log. The other is that in line 62 it uses principal.getPassword() and afterward it decode it...,497,It expose the nested path of that web app ,415;,I mean the whole method up to 446 and the problem is that the socket is never closed,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,0-20%,20-40%,0-20%,20-40%,Agree,Agree,Neither-Agree-nor-Disagree,The videos from the training session that was yesterday are not that clear because the professor explain very good the slides but the slides on the screen are very small and they are unreadable...
3303,R_3iJuvDXtd1nIgxs,Group5,Not really,No experience,No experience,463; 516,463 is a line where the code checks if the file begins with a certain path and ends with .jar. The attacker could try to validate the input of the file by whitelisting.,62,it is not checked whether the password matches the username,89,request is not validated,810,from the user input the length is used for the variable buf,Strongly disagree,Neither-Agree-nor-Disagree,Very Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,0-20%,40-60%,40-60%,0-20%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,
3389,R_tRKLArCTuM8yHTj,Group2,Only as a Teaching Assistant,As part of University projects,No experience,76;91;93;95,The input is used in the code to construct a path. The input does not seem to be sanitised properly. ,319;321;235;195;163,The input is not sanitised while it is used to construct a path or a query to a database.,88;74;75,The input is not checked for validity. There is a missing else statement. ,240;262;283;306;337;463;498;534;576,User-controlled values influence loop conditions,Neither-Agree-nor-Disagree,Strongly disagree,Hard,Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,
3314,R_2feBGxnqgqIwwC7,Group5,Only as a Teaching Assistant,Developed several projects using Java,No experience,479,"Line 479 concatenate two strings to get the full path, which can be dangerous because the concatenated string may contain special characters which redirect the path to a different directory. So the full path might be manipulated.",86;93,"In line 86, if true, bytes will simply be assigned with raw bytes from user input. This value can contain special characters which might be complied as code instead of string. It is updated in line 93 without validation.",88;89,"Line 88 does not check for illegal action values. As long as there is a processor and the request type is valid, it will process the action and later be returned without any security check.",227,"without manually set a maximum iteration for parsing the request, it is possible that the loop stuck forever given some special input which will never or take a very long time to meet the terminating condition.",Neither-Agree-nor-Disagree,Disagree,Very Hard,Hard,Hard,Very Hard,40-60%,40-60%,40-60%,20-40%,Agree,Agree,Disagree,
3518,R_264P0zHozptDX72,Group1,Not really,As part of University projects,No experience,479,The full path is the hostname plus a sanitized path. The hostname isn't checked for ../.,86;87,probably shouldn't return plain credentials string,407;429;437;513,the evaluate function is bad,51,no limit to the number of headers that will be parsed. Could result in too many resources being used,Disagree,Disagree,Hard,Very Hard,Hard,Very Hard,20-40%,0-20%,0-20%,0-20%,Agree,Neither-Agree-nor-Disagree,Disagree,
